CON,NAME,RA,DEC,MAG,LINKS,noteNUM,scalename
SGR,epsilon,18.402778,-34.3833,1.83,gamma-delta-zeta,13,
SGR,alpha,19.398333,-40.6167,3.96,zeta-beta,15,
SGR,beta,19.377222,-44.4667,4.01,alpha,16,
CAP,delta,21.783889,-16.1333,2.83,gamma,1,spanish gypsy
CAP,gamma,21.668056,-16.6667,3.66,delta-iota,2,
CAP,iota,21.370833,-16.8333,4.27,gamma-theta-36,5,
CAP,theta,21.099167,-17.2333,4.06,iota-beta-zeta-eta,6,
CAP,beta,20.350278,-14.7833,3.07,theta-alpha-rho,8,
CAP,alpha,20.300833,-12.5333,3.56,beta,9,
CAP,36,21.478611,-21.8167,4.5,iota-zeta,11,
CAP,zeta,21.444444,-22.4167,3.74,36-theta,13,
CAP,eta,21.073333,-19.85,4.83,theta-rho-24,14,
CAP,rho,20.480833,-17.8167,4.77,eta-beta-psi,17,
CAP,24,21.118889,-25,4.5,eta,18,
CAP,psi,20.768333,-25.2667,4.13,rho-omega,30,
CAP,omega,20.863611,-26.9333,4.11,psi,32,
AQR,alpha,22.096389,-0.3167,2.93,gamma-pi-beta-omicron,1,chromatic
AQR,gamma,22.360833,-1.3833,3.84,alpha-eta,2,
AQR,eta,22.589167,-0.1167,4.02,gamma-pi,3,
AQR,pi,22.421111,1.3667,4.66,eta-alpha,4,
AQR,beta,21.526111,-5.5833,2.88,alpha-nu,6,
AQR,nu,21.16,-11.3833,4.51,beta-mu,7,
AQR,mu,20.877778,-8.9833,4.72,nu-epsilon,8,
AQR,epsilon,20.794722,-9.5,3.77,mu,9,
AQR,beta,21.526111,-5.5833,2.88,epsilon-iota,10,
AQR,iota,22.107222,-13.8667,4.26,beta,11,
AQR,omicron,22.055278,-2.15,4.75,alpha-theta,13,
AQR,theta,22.280278,-7.7833,4.15,omicron-lambda,14,
AQR,lambda,22.876944,-7.5833,3.76,theta-phi-tau,15,
AQR,phi,23.238889,-6.05,4.22,lambda-psi,16,
AQR,psi,23.264722,-9.0833,4.22,phi-delta,17,
AQR,delta,22.910833,-15.8167,3.27,psi-tau,18,
AQR,tau,22.826667,-13.5833,4.01,delta-lambda,19,
AQR,psi^2,23.298333,-9.1833,4.4,98,21,
AQR,98,23.382778,-20.1,3.96,psi^2-99,22,
AQR,99,23.434167,-20.6333,4.39,98-101,23,
AQR,101,23.554722,-20.9167,4.69,99,24,
AQR,psi^1,23.264722,-9.0833,4.22,88,25,
AQR,88,23.1575,-21.1667,3.66,psi^1,26,
AQR,89,23.165,-22.45,4.69,88-86,27,
AQR,86,23.111389,-23.75,4.47,89,28,
PSC,phi,25.229167,24.5833,4.65,tau,1,major
PSC,tau,25.194444,30.1,4.5,phi-upsilon,3,
PSC,upsilon,25.324444,27.2667,4.76,tau-phi,5,
PSC,phi,25.229167,24.5833,4.65,upsilon-eta,6,
PSC,eta,25.524722,15.35,3.62,phi-omicron,8,
PSC,omicron,25.756667,9.15,4.26,eta-alpha,9,
PSC,alpha,26.033889,2.7667,4.33,omicron-xi,10,
PSC,xi,25.892778,3.2,4.61,alpha-nu,11,
PSC,nu,25.690556,5.4833,4.44,xi-epsilon,12,
PSC,epsilon,25.048889,7.8833,4.27,nu-delta,13,
PSC,delta,24.811389,7.5833,4.43,epsilon-omega,15,
PSC,omega,23.988611,6.8667,4.02,delta-iota,17,
PSC,iota,23.665833,5.6333,4.13,omega-theta-lambda,18,
PSC,theta,23.466111,6.3833,4.27,iota-gamma,20,
PSC,gamma,23.286111,3.2833,3.69,theta-kappa,22,
PSC,kappa,23.448889,1.25,4.92,gamma-lambda,24,
PSC,lambda,23.700833,1.7833,4.5,kappa-iota,25,
